Артикул,Наименование,Короткое описание,Категория,Цена,Характеристики,Описание,Картинки,Мета описание,Мета ключевые слова
667504489159,Бензопила MS 170,"Маленькая, функциональная бензопила (1,3 кВт)",Бензопилы для распиловки дров и ухода за участком,12990,"[('Рабочий объем, см?', '30,1'), ('Мощность кВт/л.с.', '1,3/1,8'), ('Вес, кг', '4'), ('Удельный вес, кг/кВт', '3,1'), ('Уровень звукового давления, дБ(A)', '98'), ('Уровень звуковой мощности, дБ(A)', '109'), ('Уровень вибрации слева/справа m/s?', '4,2/5,9'), ('Частота вращения при макс. крутящем моменте, об/мин', '8.500'), ('Объём масляного бака, см?', '145')]","<p> Для работы в саду и на дачном участке для заготовки дров или обрезки деревьев идеально подойдет маленькая бензопила STIHL MS 170 14"". При своих небольших размерах они отличается завидной выносливостью и стабильностью в работе. Проверенные технологии STIHL, применяемые при производстве профессионального инструмента, нашли применение и в этой модели. Антивибрационная система для повышения качества реза и уменьшения нагрузки на оператора, автоматическая система смазки пильной цепи и современный двигатель с компенсатором обеспечивают ее высокие технические характеристики и являются решающими при выборе этой модели. 
<br/>
<br/> Ознакомиться с полными техническими характеристиками бензопилы STIHL MS 170 14"" и получить консультацию в выборе инструмента вы можете у <a href=""http://www.stihl.ru/haendlersuche.aspx"">официальных дилеров</a>  нашей компании в вашем регионе. Обратившись к ним, вы сможете уточнить цены и приобрести необходимый инструмент с гарантией производителя. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/d9acbb817c2d42d7b757047efb80224a.jpg'],"Для работы в саду и на дачном участке для заготовки дров или обрезки деревьев идеально подойдет маленькая бензопила STIHL MS 170 14"". При своих небольших размерах они отличается завидной выносливостью и стабильностью в работе. Проверенные технологии STIHL, применяемые при производстве профессионального инструмента, нашли применение и в этой модели. Антивибрационная система для повышения качества реза и уменьшения нагрузки на оператора, автоматическая система смазки пильной цепи и современный двигатель с компенсатором обеспечивают ее высокие технические характеристики и являются решающими при выборе этой модели. К преимуществам этой бензопилы стоит отнести также однорычажное управление с рукоятки и тормозная система Quick Stop, значительно повышающие безопасность использования. Ну и конечно – цена бензопилы STIHL MS 170 14"" также является ее преимуществом!","MS170,  бензопила,  цепная пила,  пила по дереву,  бензопилы,  цепные пилы,  компактная пила,  компактные пилы"
884937690751,Бензопила MS 180,"Лёгкая бензопила мощностью 1,5 кВт",Бензопилы для распиловки дров и ухода за участком,14990,"[('Рабочий объем, см?', '31,8'), ('Цепь STIHL Oilomatic', 'Picco Micro 3 (PM3)'), ('Мощность кВт/л.с.', '1,5/2'), ('Вес, кг', '3,9'), ('Удельный вес, кг/кВт', '2,6'), ('Уровень звукового давления, дБ(A)', '97'), ('Уровень звуковой мощности, дБ(A)', '110'), ('Уровень вибрации слева/справа m/s?', '6,6/7,8'), ('Частота вращения при макс. крутящем моменте, об/мин', '9.000'), ('Объём масляного бака, см?', '145')]","<p> Для заготовки дров, уборки нежелательных зарослей, прореживания деревьев на садовых участках и строительных работ используйте бензопилы STIHL MS 180. Их легкая и надежная конструкция отличается высокой сбалансированностью и удобством для оператора, а технические характеристики высоко ценятся специалистами.
<br/>
<br/>
Мы предлагаем вам два варианта исполнения бензиновых цепных пил марки STIHL MS 180:
<br/>
<br/>–	бензопила STIHL MS 180-16"" 40 см 
<br/>–	бензопила  STIHL MS 180-14"" 35 см 
<br/>
<br/>
Последнее значение в маркировке означает длину реза и является определяющим параметром в выборе. Если бензопила вам нужна только для работ в саду, и толстые деревья пилить вы не собираетесь, вам вполне хватит модели STIHL MS 180-14"" 35 см. Она подходит для работы с пиломатериалами и древесиной диаметром до 30 см и по мощности не отличается от модели с длиной шины 40 см. 
<br/>
<br/>
Обратитесь к <a href=""http://www.stihl.ru/haendlersuche.aspx"">официальным дилерам</a>  в Вашем регионе. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/620630d5c7f148cbbc82375db4a8b83f.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/a3f0e75fcdaa48789e735d1e90221951.jpg']","Для заготовки дров, уборки нежелательных зарослей, прореживания деревьев на садовых участках и строительных работ используйте бензопилы STIHL MS 180. Их легкая и надежная конструкция отличается высокой сбалансированностью и удобством для оператора, а технические характеристики высоко ценятся специалистами.
<br>
Мы предлагаем вам два варианта исполнения бензиновых цепных пил марки STIHL MS 180:
<br>–	бензопила STIHL MS 180-16"" 40 см 
<br>–	бензопила  STIHL MS 180-14"" 35 см 
<br>
Последнее значение в маркировке означает длину реза и является определяющим параметром в выборе. Она подходит для работы с пиломатериалами и древесиной диаметром до 30 см и по мощности не отличается от модели с длиной шины 40 см. 
Обратитесь к <a href=""http://www.stihl.ru/haendlersuche.aspx"">официальным дилерам</a>  в Вашем регионе.","MS230,  бензопила,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
852875935702,Бензопила MS 180 C-BE,"Лёгкая, удобная бензопила мощностью 1,5 кВт с пусковым устройством ErgoStart и устройством быстрого натяжения цепи",Бензопилы для распиловки дров и ухода за участком,16490,"[('Цепь STIHL Oilomatic', 'Picco Micro  3 (PM3)'), ('Рабочий объем, см?', '31,8'), ('Мощность кВт/л.с.', '1,5/2'), ('Вес, кг', '4,2'), ('Удельный вес, кг/кВт', '2,8'), ('Уровень звукового давления, дБ(A)', '98'), ('Уровень звуковой мощности, дБ(A)', '110'), ('Уровень вибрации слева/справа m/s?', '7,6/7,4'), ('Частота вращения при макс. крутящем моменте, об/мин', '9.000'), ('Объём масляного бака, см?', '145')]",<p> Топ-версия нашей лёгкой бензопилы. Комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B). Существенно облегчает труд при заготовке дров или возведении деревянных построек. Отлично подходит для валки деревьев диаметром до 30 см. </p>,"['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/0c99a1eb484d402fac8c4aa4dc077324.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/128f09124a6445ffbb73783aa779ada9.jpg']",Топ-версия нашей лёгкой бензопилы. Комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B).,"MS180CBE,  бензопила,  бензопила,  цепная пила,  пусковое устройство ErgoStart,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
717438109530,Бензопила MS 181,"Современная лёгкая бензопила мощностью 1,5 кВт",Бензопилы для распиловки дров и ухода за участком,22990,"[('Рабочий объем, см?', '31,8'), ('Мощность кВт/л.с.', '1,5/2'), ('Вес, кг', '4,3'), ('Удельный вес, кг/кВт', '2,9'), ('Уровень звукового давления, дБ(A)', '100'), ('Уровень звуковой мощности, дБ(A)', '112'), ('Уровень вибрации слева/справа m/s?', '3,5/3'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '265')]","<p> Современная бензопила с очень низким уровнем вибрации для ухода за садовым участком. Разнообразные детали оснащения. Воздушный фильтр с системой предварительной очистки. Расход топлива ниже на 20%, а уровень выброса вредных выхлопных газов - на 70 % по сравнению с двухтактными двигателями STIHL той же мощности, но без технологии 2-MIX. Незаменима для заготовки дров и строительства из дерева. Отлично подходит для валки деревьев диаметром до 30 см. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/09526e8a60d74891aeaf7ff6d21351af.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/1baea6aa60e64f44a6922bf1e3103093.jpg']",Современная бензопила с низким уровнем вибрации для ухода за садовым участком. Разнообразная оснастка. Воздушный фильтр с системой предварительной очистки.,"MS181,  бензопила,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
907736847163,Бензопила MS 181 C-BE,"Современная лёгкая бензопила мощностью 1,5 кВт с пусковым устройством ErgoStart и устройством быстрого натяжения цепи",Бензопилы для распиловки дров и ухода за участком,24990,"[('Рабочий объем, см?', '31,8'), ('Мощность кВт/л.с.', '1,5/2'), ('Вес, кг', '4,6'), ('Удельный вес, кг/кВт', '3,1'), ('Уровень звукового давления, дБ(A)', '100'), ('Уровень звуковой мощности, дБ(A)', '112'), ('Уровень вибрации слева/справа m/s?', '3,5/3'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '265')]","<p> Комфортная бензопила с низким уровнем вибрации для ухода за садовым участком. Комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B). Очень низкий уровень вибрации. Разнообразное оснащение. Воздушный фильтр с системой предварительной очистки. Расход топлива ниже на 20 %, а уровень выброса вредных выхлопных газов - на 70 % по сравнению с двухтактными двигателями STIHL той же мощности, но без технологии 2-MIX. Незаменима для заготовки дров и строительства из дерева. Отлично подходит для валки деревьев диаметром до 30 см. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/04a5d9950ca64a628cde45324e27ee8c.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/eaf440aea0b1434da72b50fea4120937.jpg']",Комфортная бензопила с низким уровнем вибрации для ухода за садовым участком. Комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B). Очень низкая степень вибрации. Разнообразная оснастка. Воздушный фильтр с системой предварительной очистки.,"MS181C,  MS 181CBE,  комфорт,  Comfort,  бензопила,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
948940234841,Бензопила MS 194 T,Универсальная пила STIHL для ухода за деревьями.,Бензопилы для распиловки дров и ухода за участком,29990,"[('Рабочий объем, см?', '31,8'), ('Мощность кВт/л.с.', '1,4/1,9'), ('Вес, кг', '3,3'), ('Удельный вес, кг/кВт', '2,4'), ('Уровень звукового давления, дБ(A)', '100'), ('Уровень звуковой мощности, дБ(A)', '112'), ('Уровень вибрации слева/справа m/s?', '3,6/3,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.500'), ('Объём масляного бака, см?', '220')]","<p> Универсальная пила STIHL для ухода за деревьями. Для различных видов работ, таких как кронирование, удаление прикорневой поросли и лишних побегов, обрезка поврежденной древесины. Оснащена пильной цепью 3/8' P для чистых пропилов. Высокая производительность с обновленным двигателем 2-MIX. </p>",['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/732dcbef934c41198e765f6a813b9cf3.jpg'],"Универсальная пила STIHL для ухода за деревьями. Для различных видов работ, таких как кронирование, удаление прикорневой поросли и лишних побегов, обрезка поврежденной древесины. Оснащена пильной цепью 3/8' P для чистых пропилов. Высокая производительность с обновленным двигателем 2-MIX.",
528773213643,Бензопила MS 194 C-E,Легкая бензопила STIHL для ухода за деревьями,Бензопилы для распиловки дров и ухода за участком,28990,"[('Рабочий объем, см?', '31,8'), ('Мощность кВт/л.с.', '1,4/1,9'), ('Вес, кг', '3,6'), ('Удельный вес, кг/кВт', '2,6'), ('Уровень звукового давления, дБ(A)', '101'), ('Уровень звуковой мощности, дБ(A)', '114'), ('Уровень вибрации слева/справа m/s?', '3,6/3,6'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.500'), ('Объём масляного бака, см?', '220')]","<p> Легкая бензопила STIHL для ухода за деревьями, прореживания и поперечной распиловки дров. Устройство облегченного запуска STIHL ErgoStart и топливный насос обеспечивают простой запуск. С пильной цепью 3/8"" PM3. Высокая производительность реза при сниженном расходе топлива благодаря новым двигателям 2-MIX. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/89cfed16a4d842c7a29c0d1ed18a3444.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/0fb267fea27b4ec1a79a6df1f1bd9fd4.jpg']","Легкая бензопила STIHL для ухода за деревьями, прореживания и поперечной распиловки дров. Устройство облегченного запуска STIHL ErgoStart и топливный насос обеспечивают простой запуск. С пильной цепью 3/8"" PM3. Высокая производительность реза при сниженном расходе топлива благодаря новым двигателям 2-MIX.","MS 019,  019 T,  MS194C-E"
466718191977,Бензопила MS 210,"Удобная бензопила 1,6 кВт",Бензопилы для распиловки дров и ухода за участком,18990,"[('Цепь STIHL Oilomatic', 'Picco Micro 3 (PM3)'), ('Мощность, кВт/л.с.', '1,6/2,2'), ('Вес, кг', '4,4'), ('Шаг пильной цепи', '3/8"" P'), ('Рабочий объем, см?', '35,2'), ('Мощность л.с.', '2,2'), ('Уровень вибрации слева/справа, м/с?', '6,0/7,2'), ('Уровень звукового давления, дБ(A)', '100,0'), ('Уровень звуковой мощности, дБ(A)', '108,0')]",<p> Базовая модель с устройством фронтального натяжения цепи и антивибрационной системой STIHL. Отлично подходит для заготовки дров и валки небольших деревьев. </p>,['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/12b2f4e1e6624d90b8b84b9112d23837.jpg'],Базовая модель с устройством фронтального натяжения цепи и антивибрационной системой STIHL. Отлично подходит для заготовки дров и валки небольших деревьев.  ,"MS210,  бензопила,  цепная пила,  пила по дереву,  бензопилы,  цепные пилы,  компактная пила,  компактные пилы"
803552809477,Бензопила MS 211,"Современная, удобная бензопила мощностью 1,7 кВт",Бензопилы для распиловки дров и ухода за участком,23990,"[('Рабочий объем, см?', '35,2'), ('Мощность кВт/л.с.', '1,7/2,3'), ('Вес, кг', '4,3'), ('Удельный вес, кг/кВт', '2,5'), ('Уровень звукового давления, дБ(A)', '100'), ('Уровень звуковой мощности, дБ(A)', '113'), ('Уровень вибрации слева/справа m/s?', '3,5/3,5'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '265')]","<p> Современная бензопила с очень низким уровнем вибрации для ухода за садовым участком. Разнообразные детали оснащения. Воздушный фильтр с системой предварительной очистки. Расход топлива ниже на 20%, а уровень выброса вредных выхлопных газов - на 70% по сравнению с двухтактными двигателями STIHL той же мощности, но без технологии 2-MIX. Незаменима для заготовки дров и строительства из дерева. Отлично подходит для валки деревьев диаметром до 30 см. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/1ceb6488258445fba863d9e182e63f70.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/91c5c29f247e4f6fa90527845ded4ac9.jpg']",Современная бензопила с низким уровнем вибрации для ухода за садовым участком. Очень низкая степень вибрации. Разнообразная оснастка. Воздушный фильтр с системой предварительной очистки.,"MS211,  бензопила,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
576744804715,Бензопила MS 211 C-BE,"Современная удобная бензопила мощностью 1,7 кВт с пусковым устройством ErgoStart и устройством быстрого натяжения цепи",Бензопилы для распиловки дров и ухода за участком,25990,"[('Рабочий объем, см?', '35,2'), ('Мощность кВт/л.с.', '1,7/2,3'), ('Вес, кг', '4,6'), ('Удельный вес, кг/кВт', '2,7'), ('Уровень звукового давления, дБ(A)', '100'), ('Уровень звуковой мощности, дБ(A)', '113'), ('Уровень вибрации слева/справа m/s?', '3,5/3,5'), ('Частота вращения при макс. крутящем моменте, об/мин', '10.000'), ('Объём масляного бака, см?', '265')]","<p> Комфортная бензопила с низким уровнем вибрации для ухода за садовым участком. Комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B). Очень низкий уровень вибрации. Разнообразные детали оснащения. Воздушный фильтр с системой предварительной очистки. Расход топлива ниже на 20%, а уровень выброса вредных выхлопных газов - на 70 % по сравнению с двухтактными двигателями STIHL той же мощности, но без технологии 2-MIX. Незаменима для заготовки дров и строительства из дерева. Отлично подходит для валки деревьев диаметром до 30 см. </p>","['https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/492e18fad7794098b7de68b867b66741.jpg', 'https://static.stihl.com/upload/assetmanager/modell_imagefilename/scaled/zoom/dc803d6c0f2841d294c864bcc1ee6508.jpg']",Комфортная бензопила с низким уровнем вибрации для ухода за садовым участком. Очень комфортный запуск с помощью пускового устройства ErgoStart (E). Простая замена цепи благодаря практичному устройству быстрого натяжения цепи (B).,"MS211C,  MS 211CBE,  комфорт,  Comfort,  бензопила,  цепная пила,  пила по дереву,  компактная пила,  бензопилы,  цепные пилы,  компактные пилы"
